recv_time,topic,payload
2026-04-05T13:15:41.416607,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394941413, ""temperature"": 81}"
2026-04-05T13:15:44.423988,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394944423, ""temperature"": 78}"
2026-04-05T13:15:47.428405,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394947426, ""temperature"": 72}"
2026-04-05T13:15:50.428141,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394950428, ""temperature"": 76}"
2026-04-05T13:15:53.442296,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394953441, ""temperature"": 65}"
2026-04-05T13:15:56.447990,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394956447, ""temperature"": 81}"
2026-04-05T13:15:59.463495,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394959461, ""temperature"": 82}"
2026-04-05T13:16:02.476408,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394962475, ""temperature"": 85}"
2026-04-05T13:16:05.485767,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394965485, ""temperature"": 65}"
2026-04-05T13:16:08.499391,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394968499, ""temperature"": 78}"
2026-04-05T13:16:11.503901,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394971503, ""temperature"": 76}"
2026-04-05T13:16:14.511454,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394974510, ""temperature"": 76}"
2026-04-05T13:16:17.515302,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394977515, ""temperature"": 90}"
2026-04-05T13:16:20.523020,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394980523, ""temperature"": 74}"
2026-04-05T13:16:23.527224,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394983527, ""temperature"": 87}"
2026-04-05T13:16:26.528396,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394986528, ""temperature"": 82}"
2026-04-05T13:16:29.533626,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394989531, ""temperature"": 66}"
2026-04-05T13:16:32.541531,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394992541, ""temperature"": 69}"
2026-04-05T13:16:35.544908,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394995543, ""temperature"": 64}"
2026-04-05T13:16:38.547598,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775394998546, ""temperature"": 85}"
2026-04-05T13:16:41.561165,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395001561, ""temperature"": 84}"
2026-04-05T13:16:44.567473,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395004566, ""temperature"": 88}"
2026-04-05T13:16:47.580866,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395007579, ""temperature"": 82}"
2026-04-05T13:16:50.591189,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395010591, ""temperature"": 81}"
2026-04-05T13:16:53.594128,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395013594, ""temperature"": 80}"
2026-04-05T13:16:56.605701,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395016605, ""temperature"": 89}"
2026-04-05T13:16:59.615633,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395019614, ""temperature"": 74}"
2026-04-05T13:17:02.617837,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395022617, ""temperature"": 85}"
2026-04-05T13:17:05.631613,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395025629, ""temperature"": 86}"
2026-04-05T13:17:08.641447,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395028640, ""temperature"": 68}"
2026-04-05T13:17:11.654469,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395031653, ""temperature"": 78}"
2026-04-05T13:17:14.661506,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395034659, ""temperature"": 82}"
2026-04-05T13:17:17.662771,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395037661, ""temperature"": 66}"
2026-04-05T13:17:20.665017,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395040665, ""temperature"": 74}"
2026-04-05T13:17:23.672236,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395043671, ""temperature"": 88}"
2026-04-05T13:17:26.674577,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395046674, ""temperature"": 89}"
2026-04-05T13:17:29.676108,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395049676, ""temperature"": 85}"
2026-04-05T13:17:32.691890,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395052690, ""temperature"": 89}"
2026-04-05T13:17:35.693784,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395055693, ""temperature"": 63}"
2026-04-05T13:17:38.701515,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395058701, ""temperature"": 77}"
2026-04-05T13:17:41.713970,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395061713, ""temperature"": 70}"
2026-04-05T13:17:44.716183,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395064716, ""temperature"": 60}"
2026-04-05T13:17:47.721412,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395067719, ""temperature"": 74}"
2026-04-05T13:17:50.721372,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395070720, ""temperature"": 86}"
2026-04-05T13:17:53.731629,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395073729, ""temperature"": 83}"
2026-04-05T13:17:56.743941,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395076741, ""temperature"": 90}"
2026-04-05T13:17:59.743318,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395079743, ""temperature"": 66}"
2026-04-05T13:18:02.747556,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395082747, ""temperature"": 89}"
2026-04-05T13:18:05.753290,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395085753, ""temperature"": 85}"
2026-04-05T13:18:08.761624,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395088761, ""temperature"": 70}"
2026-04-05T13:18:11.772982,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395091771, ""temperature"": 80}"
2026-04-05T13:18:14.788938,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395094787, ""temperature"": 71}"
2026-04-05T13:18:17.795649,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395097795, ""temperature"": 87}"
2026-04-05T13:18:20.806628,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395100805, ""temperature"": 86}"
2026-04-05T13:18:23.816929,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395103816, ""temperature"": 90}"
2026-04-05T13:18:26.831486,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395106829, ""temperature"": 80}"
2026-04-05T13:18:29.844271,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395109844, ""temperature"": 65}"
2026-04-05T13:18:32.847994,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395112845, ""temperature"": 71}"
2026-04-05T13:18:35.852629,iot/lab/sensor1/temperature,"{""sensor_id"": ""attack"", ""ts_device"": 1775395115852, ""temperature"": 68}"
