recv_time,topic,payload
2026-01-28T15:57:09.888985,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 0, ""temperature"": 30}"
2026-01-28T15:57:09.888985,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 0, ""temperature"": 28}"
2026-01-28T15:57:10.898954,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 1009, ""temperature"": 29}"
2026-01-28T15:57:10.898954,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 1009, ""temperature"": 30}"
2026-01-28T15:57:11.905835,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 2016, ""temperature"": 24}"
2026-01-28T15:57:11.906845,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 2016, ""temperature"": 29}"
2026-01-28T15:57:12.920488,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 3031, ""temperature"": 21}"
2026-01-28T15:57:12.921530,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 3031, ""temperature"": 25}"
2026-01-28T15:57:13.934301,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 4045, ""temperature"": 23}"
2026-01-28T15:57:13.935614,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 4045, ""temperature"": 28}"
2026-01-28T15:57:14.939819,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 5050, ""temperature"": 27}"
2026-01-28T15:57:14.940853,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 5050, ""temperature"": 25}"
2026-01-28T15:57:15.945922,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 6056, ""temperature"": 24}"
2026-01-28T15:57:15.947168,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 6056, ""temperature"": 29}"
2026-01-28T15:57:16.961295,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 7072, ""temperature"": 21}"
2026-01-28T15:57:16.962379,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 7072, ""temperature"": 25}"
2026-01-28T15:57:17.971675,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 8082, ""temperature"": 23}"
2026-01-28T15:57:17.971675,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 8082, ""temperature"": 23}"
