recv_time,topic,payload
2025-12-10T02:45:11.062870,iot/lab/temperature,21.76
2025-12-10T02:45:14.162893,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":152194,""temperature"":21}"
2025-12-10T02:45:30.962764,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":157195,""temperature"":26}"
2025-12-10T02:45:35.872673,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":12011,""temperature"":27}"
2025-12-10T02:45:48.334215,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":162196,""temperature"":26}"
2025-12-10T02:46:00.254282,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":17012,""temperature"":25}"
2025-12-10T02:46:06.180197,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":167197,""temperature"":23}"
2025-12-10T02:46:16.797887,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":22013,""temperature"":27}"
2025-12-10T02:46:22.683244,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":172198,""temperature"":28}"
2025-12-10T02:46:33.158855,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":27014,""temperature"":27}"
2025-12-10T02:46:39.153361,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":177199,""temperature"":27}"
2025-12-10T02:46:49.818866,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":32015,""temperature"":28}"
2025-12-10T02:46:55.668085,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":182200,""temperature"":24}"
2025-12-10T02:47:06.193307,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":37016,""temperature"":23}"
2025-12-10T02:47:11.973751,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":187201,""temperature"":22}"
2025-12-10T02:47:22.502471,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":42017,""temperature"":29}"
2025-12-10T02:47:28.470405,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":192202,""temperature"":24}"
2025-12-10T02:47:38.836038,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":47018,""temperature"":28}"
2025-12-10T02:47:44.829499,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":197203,""temperature"":22}"
2025-12-10T02:47:54.996060,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":52019,""temperature"":23}"
2025-12-10T02:48:01.264662,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":202204,""temperature"":27}"
2025-12-10T02:48:11.709498,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":57020,""temperature"":24}"
2025-12-10T02:48:18.293920,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":207205,""temperature"":26}"
2025-12-10T02:48:28.051131,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":62021,""temperature"":22}"
2025-12-10T02:48:34.632364,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":212206,""temperature"":29}"
2025-12-10T02:48:44.402387,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":67022,""temperature"":20}"
2025-12-10T02:48:51.046737,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":217207,""temperature"":21}"
2025-12-10T02:49:00.650227,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":72023,""temperature"":24}"
2025-12-10T02:49:07.570658,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":222208,""temperature"":26}"
2025-12-10T02:49:17.134590,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":77024,""temperature"":27}"
2025-12-10T02:49:24.021291,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":227209,""temperature"":25}"
2025-12-10T02:49:33.752368,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":82025,""temperature"":24}"
2025-12-10T02:49:40.978721,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":232210,""temperature"":26}"
2025-12-10T02:50:01.018330,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":237211,""temperature"":28}"
2025-12-10T02:50:03.320438,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":87026,""temperature"":25}"
2025-12-10T02:50:18.246062,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":242212,""temperature"":23}"
2025-12-10T02:50:20.800551,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":92027,""temperature"":29}"
2025-12-10T02:50:37.151221,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":247213,""temperature"":22}"
2025-12-10T02:50:39.933377,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":97028,""temperature"":23}"
2025-12-10T02:50:53.857894,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":252214,""temperature"":24}"
2025-12-10T02:50:56.446655,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":102029,""temperature"":21}"
2025-12-10T02:51:10.361075,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":257215,""temperature"":25}"
2025-12-10T02:51:13.379513,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":107030,""temperature"":24}"
2025-12-10T02:51:27.253414,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":262216,""temperature"":22}"
2025-12-10T02:51:30.274828,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":112031,""temperature"":29}"
2025-12-10T02:51:47.524487,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":267217,""temperature"":26}"
2025-12-10T02:52:07.284504,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":272218,""temperature"":22}"
2025-12-10T02:52:26.145341,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":277219,""temperature"":22}"
2025-12-10T02:52:31.070513,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":117032,""temperature"":28}"
2025-12-10T02:52:43.311931,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":282220,""temperature"":28}"
