recv_time,topic,payload
2026-01-28T17:49:40.850441,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":5001,""temperature"":26}"
2026-01-28T17:49:46.144380,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":5393,""temperature"":26}"
2026-01-28T17:50:03.493767,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":10002,""temperature"":20}"
2026-01-28T17:50:06.714076,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":10394,""temperature"":20}"
2026-01-28T17:50:18.820432,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":15003,""temperature"":29}"
2026-01-28T17:50:22.435530,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":15395,""temperature"":29}"
2026-01-28T17:50:32.692669,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":20004,""temperature"":27}"
2026-01-28T17:50:36.471628,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":20396,""temperature"":27}"
2026-01-28T17:50:47.601434,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":25005,""temperature"":20}"
2026-01-28T17:50:51.137032,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":25397,""temperature"":20}"
2026-01-28T17:51:01.448734,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":30006,""temperature"":25}"
2026-01-28T17:51:05.287334,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":30398,""temperature"":25}"
2026-01-28T17:51:16.108541,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":35007,""temperature"":27}"
2026-01-28T17:51:19.836321,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":35399,""temperature"":27}"
2026-01-28T17:51:30.806716,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":40008,""temperature"":27}"
2026-01-28T17:51:34.647654,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":40400,""temperature"":27}"
2026-01-28T17:51:44.901816,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":45009,""temperature"":28}"
2026-01-28T17:51:48.841156,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":45401,""temperature"":28}"
2026-01-28T17:51:58.529075,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":50010,""temperature"":23}"
2026-01-28T17:52:03.463736,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":50402,""temperature"":23}"
2026-01-28T17:52:13.061207,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":55011,""temperature"":29}"
2026-01-28T17:52:17.682054,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":55403,""temperature"":29}"
2026-01-28T17:52:26.645238,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":60012,""temperature"":28}"
2026-01-28T17:52:31.691304,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":60404,""temperature"":28}"
2026-01-28T17:52:41.082377,iot/lab/sensor2/temperature,"{""sensor_id"":""sensor2"",""ts_device"":65013,""temperature"":23}"
2026-01-28T17:52:49.207802,iot/lab/sensor1/temperature,"{""sensor_id"":""sensor1"",""ts_device"":65405,""temperature"":23}"
