recv_time,topic,payload
2026-01-28 17:26:54.005469,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 0, ""temperature"": 22}"
2026-01-28 17:26:54.005469,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 0, ""temperature"": 25}"
2026-01-28 17:26:59.014453,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 5006, ""temperature"": 27}"
2026-01-28 17:26:59.015460,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 5006, ""temperature"": 27}"
2026-01-28 17:27:04.017875,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 10011, ""temperature"": 27}"
2026-01-28 17:27:04.055926,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 10011, ""temperature"": 20}"
2026-01-28 17:27:09.021687,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 15016, ""temperature"": 25}"
2026-01-28 17:27:09.021687,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 15016, ""temperature"": 21}"
2026-01-28 17:27:14.036403,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 20029, ""temperature"": 24}"
2026-01-28 17:27:14.036403,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 20029, ""temperature"": 22}"
2026-01-28 17:27:19.051903,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 25046, ""temperature"": 22}"
2026-01-28 17:27:19.055738,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 25046, ""temperature"": 27}"
2026-01-28 17:27:24.065587,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 30056, ""temperature"": 21}"
2026-01-28 17:27:24.070136,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 30056, ""temperature"": 27}"
2026-01-28 17:27:29.072025,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 35064, ""temperature"": 28}"
2026-01-28 17:27:29.074032,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 35064, ""temperature"": 26}"
2026-01-28 17:27:34.075290,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 40068, ""temperature"": 21}"
2026-01-28 17:27:34.077122,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 40068, ""temperature"": 20}"
2026-01-28 17:27:39.086375,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 45079, ""temperature"": 21}"
2026-01-28 17:27:39.088382,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 45079, ""temperature"": 22}"
2026-01-28 17:27:44.092271,iot/lab/sensor1/temperature,"{""sensor_id"": ""sensor1"", ""ts_device"": 50086, ""temperature"": 22}"
2026-01-28 17:27:44.095280,iot/lab/sensor2/temperature,"{""sensor_id"": ""sensor2"", ""ts_device"": 50086, ""temperature"": 23}"
